Canada	5
Communism	1
NewYork	4
Juilliard	1
tcot_talk	1
NUFC	1
Obamacare	8
Poetry	1
NYT	3
Abbas	3
sexandfessenjoon	1
disarming	1
jihad	1
Olympics	1
creepingsharia	1
NavySeal	1
NYC	2
Communist	7
children	1
journalnews	1
swag	1
voter	1
MentalHealth	1
GOPTruth	1
SECONDAMENDMENT	1
Watch	1
Evil	1
hillsborough	1
to	1
wmi	1
stuckon2000	1
Tahrir	6
te	1
tc	1
Christians	6
woman	1
Iranian	65
RonPaul	1
WhyIsMyPayCheckLessThisWeek	1
LiberalHypocrisy	1
PrayForTommy	1
Military	9
thingsthatwillneverhappen	1
BRTT	2
E1	1
Arabs	1
CDC	3
FRANCE	2
Kill	1
Parents	1
Sandy	7
fiscalcliff	3
NGOTrial	1
Mehregan	1
OpSLAM	5
ThingsThatMakeMeLOL	1
welfare	1
GUN	2
Denver	1
TSA	1
Idiots	2
VP	1
WhyIsMyPaycheckLessThisWeek	26
nbc	1
Arizona	1
MayaNasser	1
LowInformationVoters	4
BREAKING	27
gunc	1
USAinUKNov6	2
journalist	2
Liberties	1
myPCC	22
Conservatives	1
Govt	1
Worked	1
Iranians	9
guns	4
iran	20
HobbyLobby	2
Hanukkahinholloway	1
K	1
Cleveland	1
Mohammed	1
Budget	1
twisters	1
lgbt	1
Mental	3
cspj	1
Common	2
Ohio	1
iraq	1
GrudgeMatch	1
Silence	12
waronwomen	1
FLU	1
Jews	3
Diplomacy	1
economics	1
Hamas	18
Qaeda	6
Twinkie	1
Aid4Gaza	1
military	7
JamieFoxx	1
Border	1
Architecture	1
Afraid	2
Jew	1
Istanbul	4
Evin	1
Support	1
Sentor	1
EU	7
middlesbrough	1
Book	3
TREASON	2
SMILE	1
Syrians	3
Kurds	5
Basij	2
Shiite	2
Journalists	6
twitterku	1
Spy	2
MKO	2
Gazprom	1
music	2
xfactor	1
obamapresser	1
my2k	2
ایران	3
Brighton	1
israel	1
هنر	1
Philippines	1
UT	1
LNYHBT	2
Morocco	2
American	1
gaza	2
Libyan	2
Crazy	1
PlannedParenthood	1
rights	2
SS	5
veterans	1
work	1
ik	1
EDL	2481
mu	1
Martial	1
SO	1
Colombia	1
my	1
Hitler	20
history	3
Alborz	1
UNSG	1
speakup	1
UNSC	4
Nepal	2
india	1
Reality	1
McAfee	1
Chechen	1
Digital	1
Poet	2
UNESCO	1
DearRegretfulOVoters	1
Norm	1
uaf	1
Benghazi	633
FactsAboutEDL	8
ThingsThatOffendObama	1
opslam	1
Canadian	1
Fiction	1
Capricorn	3
Muslims	10
Jordan	8
Millwall	1
env	1
lowinformationvoterthoughts	2
moron	1
A	1
Eritrea	1
Chattanooga	1
fx	1
Gazaunderfire	1
Castro	2
Allepo	1
breitbart	1
MUSIC	1
miners	1
ff	4
syria	7
Syria	307
law	2
lesbian	1
fo	1
Copts	1
All	1
pressfreedom	1
Mexico	3
jihadist	1
Tunisian	1
Serbia	1
NasrinSotoudeh	1
zerodarkthirty	1
Armed	4
Film	13
wine	2
JFK	1
Criminals	9
SCOTUS	6
INDIA	2
Socialization	1
trade	1
outraged	1
ThingsIHate	1
Maliki	1
Androgyny	1
CNNdebate	1
Texas	4
islam	2
LegalizeIt2012	1
Hero	1
Holder	2
Cops	1
WashingtonDC	5
writing	1
PRT	1
Armenian	1
cool	1
Spain	4
GunCONTROL	1
Obama2012slogans	1
Hostess	1
Charlotte	1
food	2
Administration	1
InternationalTerr	1
L	1
Bahai	1
2A	1
icymi	1
Vatican	1
schools	1
Benhgazi	12
Control	12
Bittersweet	1
EvilIslam	1
Terrorists	1
ArabLeague	4
Darband	1
India	9
FireBoehner	9
Shame	1
OWS	1
TheFive	2
Skype	1
Farsi	2
antifacist	1
Poli	1
Hezbollah	4
Falklands	2
energy	1
Paranoia	1
Mongolia	2
Sports	2
Damascus	32
HighInformationVoters	1
Muc	1
navy	1
Criminal	1
Hollywood	2
Discovery	1
NEWS	1
Starve	1
